Product Name,URL,Price
"ASUS VivoBooK Intel Celeron N4000 15.6-inch Laptop (4GB/500GB HDD/Windows 10/Chocolate Black/2 Kg), X540MA-GQ024T",/VivoBooK-Celeron-15-6-inch-Chocolate-X540MA-GQ024T/dp/B07HBK27N1/ref=sr_1_28?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462459&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-28,"19,990"
"HP 15-da0327tu 2018 15.6-inch Laptop (7th Gen Core i3-7100U/4GB/1TB/Windows 10/MS Office/ Integrated Graphics), Natural Silver",/HP-15-da0327tu-15-6-inch-i3-7100U-Integrated/dp/B07FV3TNLY/ref=sr_1_29?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462459&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-29,"32,290"
F Gear Luxur Brown 25 Liter Laptop Backpack,/Gear-Luxur-Brown-Laptop-Backpack/dp/B01F7AX9ZA/ref=sr_1_30?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462459&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-30,903
"Jackly JK-6066-B 33-In-1 Screwdriver Tool Kit For Mobiles, PDA, Laptop",/Jackly-JK-6066-B-Screwdriver-Mobiles-Laptop/dp/B00LLKM0XS/ref=sr_1_31?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462459&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-31,319
"Popsugar Polly Pocket Learning Laptop, Red",/Popsugar-Polly-Pocket-Learning-Laptop/dp/B07QPG77P8/ref=sr_1_32?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462459&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-32,187
Storite 3 in 1 Screen Cleaning Kit with Microfiber Cloth and Brush for Electronic Screens (100 ml),/Storite-Cleaning-Microfiber-Electronic-Screens/dp/B077TNHLW8/ref=sr_1_33?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462459&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-33,199
"Acer Aspire A315-21 15.6-inch Laptop (AMD A-Series Dual-Core A6-9220/4GB/1TB/Windows 10 Home/Integrated Graphics), Obsidian Black",/Acer-A315-21-15-6-inch-Dual-Core-Integrated/dp/B07RR49N98/ref=sr_1_34?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462459&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-34,"20,490"
"HP 15 Ryzen R3 15.6-inch Full HD Laptop (4GB/1TB HDD/Windows 10 Home/Vega 3 Graphics/MS Office/Natural Silver/2.04 kg), 15-db0186AU",/HP-15-6-inch-Windows-Graphics-15-db0186AU/dp/B07HM7GNSZ/ref=sr_1_35?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462463&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-35,"30,980"
"Lenovo Ideapad 130 Intel Core i3 6th Gen 15.6-inch HD Laptop (4GB RAM/1TB HDD/DOS/ Black/2.1kg/with ODD), 81H70059IN",/Lenovo-Ideapad-15-6-inch-Laptop-81H70059IN/dp/B07HXYBXCQ/ref=sr_1_36?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462463&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-36,"25,490"
"Cosmic Byte H1 Gaming Headphone with Mic for PC, Laptops, Mobile, PS4, Xbox One (Red)",/Cosmic-Byte-H1-Headphone-Laptops/dp/B07GB9SMS6/ref=sr_1_37?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462463&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-37,
Cosmus 50 Ltrs Black Rain & Dust Black Pack Cover,/Cosmus-Ltrs-Black-Rain-Cover/dp/B01E06ZK8G/ref=sr_1_38?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462463&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-38,275
"(Renewed) HP Elitebook 840G1-i5-8 GB-500 GB 14-inch Laptop (4th Gen Core i5/8GB/500GB/Windows 7/Integrated Graphics), Black",/HP-840G1-i5-8-GB-500-GB-Integrated/dp/B07Q4NJ5W7/ref=sr_1_39?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462463&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-39,"27,990"
"Acer Aspire 3 UN.GNVSI.009 15.6-inch Laptop (AMD Dual-Core Processor A4-9125/4GB/1TB/Windows 10 Home/Integrated Graphics), Obsidian Black",/Acer-GNVSI-009-15-6-inch-Dual-Core-Integrated/dp/B07MQYZ98N/ref=sr_1_40?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462463&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-40,"19,100"
Artikel™ Multi-Purpose Laptop Table with Dock Stand | Foldable and Portable | Ergonomic & Rounded Edges | Non-Slip Legs | Engineered Wood (Ebony Wood),/ArtikelTM-Multi-Purpose-Foldable-Ergonomic-Engineered/dp/B07PPFKK9X/ref=sr_1_41?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462463&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-41,999
"Acer Switch Intel Atom 10.1-inch Thin and Light Laptop (2GB/32GB HDD/Windows 10/Black/1.1 Kg), SW110",/Acer-Switch-10-1-inch-Windows-SW110/dp/B07HCJVHW5/ref=sr_1_42?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462463&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-42,"12,990"
"Dell Vostro 7th Gen Intel Core i3-7020U (4GB/1TB/ Ubuntu Linux 16.04/ Intel HD Integrated Graphics) 3568 2018 Laptop (15.6-inch, Black)",/Dell-i3-7020U-Integrated-3568-15-6-inch/dp/B07JC3BLY7/ref=sr_1_43?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462463&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-43,"28,909"
Boya BYM1 Omnidirectional Lavalier Condenser Microphone with 20ft Audio Cable (Black),/Boya-Omnidirectional-Lavalier-Condenser-Microphone/dp/B076B8G5D8/ref=sr_1_44?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462463&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-44,975
Official Merchandise CelfiDesign Lasts Long ABquotes - Skin for Lenovo Thinkpad X230,/Official-Merchandise-CelfiDesign-Lasts-ABquotes/dp/B07K482M95/ref=sr_1_45?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462463&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-45,799
Lenovo B515 15.6 inch Laptop Everyday Backpack (Black),/Lenovo-Laptop-Everyday-Backpack-Black/dp/B07GM5NR14/ref=sr_1_46?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462463&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-46,681
MAONO USB Microphone Kit Plug and Play Podcast Condenser Microphone with Professional Sound Chipset for Laptop PC,/MAONO-Microphone-Podcast-Condenser-Professional/dp/B07GQT8879/ref=sr_1_47?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462463&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-47,
"iBall Marvel 6 V 2.0 2017 14-inch Laptop (Intel Celeron Processor N3350/3GB/32GB/Windows 10 Home/Integrated Graphics), Metallic Grey",/iBall-Marvel-2-0-Processor-Integrated/dp/B07NHQMRLH/ref=sr_1_48?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462463&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-48,"10,985"
Gizga Essentials Laptop Power Cable Cord- 3 Pin Adapter Isi Certified(1 Meter/3.3 Feet),/Gizga-Essentials-Laptop-Adapter-Certified/dp/B01IOZUHRS/ref=sr_1_49?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462463&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-49,189
"Acer Aspire 3 Intel Celeron 15.6-inch FHD Laptop (4GB/500 GB HDD/Windows 10 Home/Obsidian Black/2.1 Kg), A315-33",/Acer-Celeron-15-6-inch-Obsidian-A315-33/dp/B07HBBVPW4/ref=sr_1_50?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462463&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-50,"18,990"
Logitech M235 Wireless Mouse for Windows and Mac - Black/Grey,/Logitech-M235-Wireless-Mouse-Grey/dp/B004IO5BMQ/ref=sr_1_51?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462468&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-51,599
HP X1000 Wired Mouse (Black/Grey),/HP-X1000-Wired-Mouse-Black/dp/B009VCGPSY/ref=sr_1_52?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462468&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-52,289
"Lenovo Ideapad 330 81D600LAIN 15.6-inch Laptop ( A9-9425 /4GB /1TB /Windows 10/ Ms Office 2016), Platinum Grey",/Lenovo-Ideapad-81D600LAIN-15-6-inch-Platinum/dp/B07NNZVXGX/ref=sr_1_53?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462468&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-53,"22,807"
Vikas gift gallery Sound Toy for Kids ( Educational Laptop),/Vikas-gift-gallery-Educational-Laptop/dp/B07S75CV5L/ref=sr_1_54?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462468&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-54,225
